"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,124239138,63,50,,137889015
2019,124239160,11,4,,137893212
2019,124239160,10,,,137893211
2019,124250202,20,65,,137886990
2019,124250207,10,,,137886996
2019,124250215,38,1,,137889073
2019,124239198,38,1000,,137889074
2019,124239213,10,,,137887019
2019,124239213,11,1,,137889093
2019,124246991,17,250,,137893267
2019,124250260,16,159,,137887044
2019,124239246,10,,,137889144
2019,124247045,8,2,,137893341
2019,124247068,20,1261,,137893360
2019,124247075,22,0,,137893368
2019,124250346,19,288,,137893372
2019,124250350,20,1700,,137887146
2019,124250350,25,25,,137887147
2019,124239310,26,350,,137889213
2019,124239310,63,250,,137889214
2019,124239329,16,400,,137889233
2019,124247106,11,1,,137887185
2019,124247106,10,,,137887183
2019,124247115,3,500,,137893411
2019,124247128,29,1,,137893424
2019,124247132,11,1,,137887213
2019,124247132,10,,,137887212
2019,124247150,63,800,,137893442
2019,124239395,10,,,137889312
2019,124250451,29,1,,137887268
2019,124250472,10,,,137887287
2019,124239445,19,33,,137887323
2019,124250503,19,33,11-SEP-19,137889372
2019,124247219,20,2900,,137893526
2019,124247256,19,1,,137893579
2019,124247262,63,1500,,137893585
2019,124250636,10,,,137897459
2019,124247278,63,108,,137893608
2019,124250669,63,2000,,137897492
2019,124254610,25,1,,137893666
2019,124247336,13,300,,137889584
2019,124250739,11,1,,137893678
2019,124250753,38,690,,137897599
2019,124254639,25,1,,137893686
2019,124254639,63,1,,137897607
2019,124254639,20,144,,137893685
2019,124254639,9,0,,137897605
2019,124247360,13,763,,137893703
2019,124254683,10,,,137889673
2019,124254683,11,2,,137889674
2019,124254701,19,65,,137889690
2019,124247398,20,99,,137897698
2019,124254721,11,1,,137889704
2019,124247439,25,131,,137893773
2019,124254769,20,6483,,137889765
2019,124247443,16,300,,137893776
2019,124250920,24,4600,,137897821
2019,124250920,3,3500,,137897820
2019,124250922,10,,,137897823
2019,124247525,63,400,,137893872
2019,124247527,63,1,,137893874
2019,124247544,10,,,137893893
2019,124247554,19,60,,137893909
2019,124247553,19,60,13-JUL-19,137893906
2019,124247577,10,,,137893940
2019,124254918,63,150,,137897972
2019,124251061,63,150,11-OCT-19,137897971
2019,124247584,10,,,137889932
2019,124247590,36,2625,,137893954
2019,124247612,11,1,,137893975
2019,124247624,38,1,,137893991
2019,124247643,13,800,,137894012
2019,124247643,17,660,,137894013
2019,124247643,63,3001,,137894015
2019,124247643,20,40,,137894014
2019,124247643,6,180,,137894011
2019,124251175,13,1503,,137898110
