"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37517501,1,37822341
2019,37522218,1,37825100
2019,37512791,1,37819913
2019,37512809,1,37819925
2019,37512813,1,37825103
2019,37512814,1,37819927
2019,37512833,1,37829952
2019,37512834,1,37825107
2019,37512840,1,37829958
2019,37517541,1,37825112
2019,37517543,1,37822392
2019,37512856,1,37829977
2019,37512857,1,37825119
2019,37512855,1,37822396
2019,37517548,1,37829976
2019,37512865,1,37829985
2019,37512866,1,37829986
2019,37517557,1,37829993
2019,37512871,1,37822401
2019,37522259,1,37825137
2019,37522260,1,37830013
2019,37517571,1,37822414
2019,37512895,1,37830020
2019,37512894,1,37830019
2019,37512897,1,37830022
2019,37512900,1,37830025
2019,37517579,1,37822423
2019,37517584,1,37830034
2019,37512913,1,37830036
2019,37512912,1,37830035
2019,37522301,1,37825178
2019,37512975,1,37830104
2019,37522316,1,37825194
2019,37522323,1,37830132
2019,37513004,1,37830134
2019,37513006,1,37830136
2019,37513005,1,37830135
2019,37513014,1,37830143
2019,37522338,1,37825214
2019,37513036,1,37830163
2019,37522345,1,37830165
2019,37517659,1,37822502
2019,37522365,1,37830203
2019,37517677,1,37822523
2019,37522373,1,37830208
2019,37513104,1,37830226
2019,37513105,1,37830227
2019,37522397,3,37822541
2019,37513696,1,37830809
2019,37522623,1,37825509
2019,37513726,1,37830843
2019,37513737,1,37830853
2019,37518212,1,37830864
2019,37513772,1,37830893
2019,37513773,1,37825553
2019,32095771,1,32123387
2019,32095780,1,32123396
2019,32095784,1,32109522
2019,32095854,1,32123471
2019,32083221,1,32123386
2019,32099201,1,32123456
2019,32083243,1,32123465
2019,32098683,1,32119796
2019,32095316,1,32122911
2019,32082944,1,32109265
2019,32095403,1,32122993
2019,32095416,1,32123003
2019,32095413,1,32123000
2019,32095415,1,32123002
2019,32095426,1,32123012
2019,32095424,1,32123010
2019,32095433,1,32123018
2019,32095443,1,32123030
2019,32095448,1,32123034
2019,32099142,1,32125258
2019,32099153,1,32123338
2019,32083203,1,32123347
2019,32083212,1,32123353
2019,33440390,1,33485831
2019,33454646,1,33485845
2019,33449778,5,33476686
2019,33449830,1,33485906
2019,37517094,1,37821935
2019,37521893,1,37821937
2019,37512197,1,37821938
2019,37521898,1,37819303
2019,37512204,1,37819308
2019,37512205,1,37819309
2019,37521910,1,37814804
2019,37512217,1,37814807
2019,37517121,1,37821968
2019,37512222,1,37819326
2019,37521922,1,37814818
2019,37512240,1,37819344
2019,37517143,1,37821986
2019,37517147,1,37821990
2019,37512251,1,37819356
2019,37512254,1,37819359
2019,37517159,1,37819362
2019,37512280,1,37819387
2019,37517177,1,37819394
2019,37517178,1,37822021
2019,37512294,1,37822022
2019,37512304,1,37819411
2019,37517186,1,37822029
2019,37517198,1,37822041
